x,y,cluster,term,genes
9.658615,1.7332556,Cluster 1,PURA,UPF1 IMP3 DDX31 GNL3 REXO4 LARP7 GTPBP4 NSA2 LIN28B DKC1 RPL26 PABPC4 RPL26L1 ZCCHC9 STAU2 NIP7 YTHDC2 ZC3HAV1 RPF2 DHX30 LLPH RPS5 RPL17 SF3B2 LYAR NOP16 MRPS26 SURF6 CCDC137 PAPD5 MRPS22 FTSJ3 GLTSCR2 MOV10 EBNA1BP2 MYBBP1A GZF1 ZCCHC3 RPS24 FYTTD1 RBM28 ZNF574 RRP8 ZNF771 DDX27 WHSC1 MPHOSPH10 DDX24 DDX21 LARP1 DHX57 BMS1 BRIX1 IGF2BP3 RPS13 
9.963262,1.7838566,Cluster 1,PAK1IP1,UPF1 IMP3 IMP4 RBM19 RPL13A KNOP1 DDX31 GNL3 REXO4 GNL2 LARP7 GTPBP4 MRTO4 NSA2 BOP1 LIN28B DKC1 RPL7L1 RPL26 CCDC86 POP1 ZNF512 RPL26L1 HP1BP3 NVL STAU1 STAU2 NIP7 NOP2 ZC3HAV1 RPF2 AATF DHX30 HERC5 SRP72 LLPH PURA PES1 RPL15 RPL17 RRS1 DDX18 MYEF2 ABT1 NOP16 SURF6 DDX56 CCDC137 DDX54 PAPD5 RRP1B NOC3L DDX50 FTSJ3 GLTSCR2 MOV10 RSL1D1 EBNA1BP2 MYBBP1A NOL12 GZF1 RSL24D1 GLYR1 NOP56 RPS24 FYTTD1 RBM28 RRP8 ZNF771 DDX27 WHSC1 MPHOSPH10 DDX24 DDX21 ZNF22 PPAN KRI1 TTF1 RRP9 LARP1 C7ORF50 NKRF DHX57 RRP15 BRIX1 RRP12 NIFK RPS13 RBM34 
8.224872,1.7303066,Cluster 1,RRP1B,RBM28 DDX27 NOP16 DDX24 DDX21 FTSJ3 GNL3 GTPBP4 DHX30 EBNA1BP2 MYBBP1A RPL7L1 LYAR 
9.863612,1.8640609,Cluster 1,DDX50,KNOP1 DDX31 GNL3 REXO4 GNL2 SRRM1 SMARCA5 GTPBP4 MRTO4 LIN28B XRN2 RPL26 CCDC86 POP1 ZNF512 HP1BP3 NVL STAU1 STAU2 NIP7 ZC3HAV1 RPF2 DHX30 SRP72 PURA PES1 RPL15 RPS5 RPL17 RRS1 LYAR DDX18 ABT1 NOP16 SURF6 CCDC137 PAPD5 MRPS22 SRP68 RRP1B NOC3L FTSJ3 GLTSCR2 RSL1D1 EBNA1BP2 MYBBP1A TSR1 NOL12 GLYR1 RPS24 RBM28 RRP8 DDX27 WHSC1 DDX24 DDX21 PPAN KRI1 TTF1 LARP1 NKRF RRP15 BRIX1 RRP12 IGF2BP3 NIFK RPS13 RBM34 
8.982957,1.3360404,Cluster 1,UTP23,DDX18 TOE1 ZCRB1 KRR1 CCDC137 SRP68 CHERP FTSJ3 GNL3 GNL2 GLTSCR2 GTPBP4 TSR1 POP1 GZF1 GLYR1 RPS24 HP1BP3 LTV1 DDX27 PRDM15 KRI1 AATF DHX30 RPS17 SRP72 RPL15 RPS5 RRP12 RRS1 LYAR RPS13 
9.894647,1.9510845,Cluster 1,CTCF,ZBTB11 KNOP1 DDX31 GNL3 REXO4 GNL2 LARP7 GTPBP4 LIN28B XRN2 DKC1 RPL26 POP1 ZNF512 RPL26L1 HP1BP3 STAU1 NIP7 NOP2 ZC3HAV1 RPF2 DHX30 PURA RPL15 GAR1 RRS1 LYAR NOP16 SURF6 CCDC137 PAPD5 NOC3L FTSJ3 GLTSCR2 RSL1D1 EBNA1BP2 MYBBP1A H1F0 NOL12 GZF1 GLYR1 RPS24 RBM28 ZNF771 DDX27 WHSC1 DDX24 DDX21 ZNF22 PPAN KRI1 TTF1 RRP9 LARP1 C7ORF50 NKRF BRIX1 RPS13 RBM34 
8.6975355,1.763573,Cluster 1,NOC3L,MYEF2 NOP16 IMP3 DDX56 CCDC137 PAPD5 RRP1B FTSJ3 GNL3 REXO4 WDR12 GLTSCR2 GTPBP4 MRTO4 NSA2 EBNA1BP2 MYBBP1A DKC1 RPL7L1 RPL26 GZF1 FYTTD1 RPL26L1 RBM28 RRP8 DDX27 STAU2 NIP7 DDX24 ZC3HAV1 DDX21 RRP9 RPF2 DHX30 LLPH RPL36A PES1 RPL17 RRS1 LYAR 
9.976356,1.9438995,Cluster 1,STAU1,UPF1 IMP3 IMP4 KNOP1 DDX31 GNL3 REXO4 GNL2 LARP7 SRRM1 GTPBP4 NSA2 LIN28B XRN2 DKC1 RPL7L1 RPL26 CCDC86 CEBPZ POP1 ZNF512 RPL26L1 HP1BP3 NVL STAU2 NIP7 YTHDC2 ZC3HAV1 ZC3H8 RPF2 DHX30 HERC5 SRP72 LLPH ZNF629 PURA PES1 RPL15 GAR1 RPL17 RRS1 LYAR DDX18 MYEF2 ABT1 NOP16 MRPS26 SURF6 DDX56 CCDC137 PAPD5 RRP1B NOC3L FTSJ3 GLTSCR2 MOV10 RSL1D1 EBNA1BP2 MYBBP1A NOL12 GZF1 GLYR1 RPS24 FYTTD1 RBM28 RRP8 ZNF771 DDX27 WHSC1 MPHOSPH10 DDX24 DDX21 ZNF22 PPAN KRI1 TTF1 LARP1 C7ORF50 NKRF BRIX1 RRP12 NIFK RPS13 RBM34 
8.904392,1.4143088,Cluster 1,LIN28B,UPF1 IMP3 DDX31 GNL3 REXO4 LARP7 GTPBP4 MRTO4 NSA2 DKC1 RPL26 PABPC4 RPL26L1 STAU2 ZC3HAV1 RPF2 DHX30 LLPH RPS5 RPL17 RRS1 SF3B2 LYAR NOP16 MRPS26 SURF6 CCDC137 PAPD5 FTSJ3 GLTSCR2 MOV10 EBNA1BP2 MYBBP1A GZF1 ZCCHC3 RPS24 RBM28 ZNF574 RRP8 ZNF771 DDX27 WHSC1 MPHOSPH10 DDX24 DDX21 RRP9 LARP1 BMS1 BRIX1 IGF2BP3 MMTAG2 RPS13 
9.955852,1.9426141,Cluster 1,NOP2,IMP3 IMP4 ZBTB11 KNOP1 LARP7 SRRM1 GTPBP4 MRTO4 BOP1 LIN28B XRN2 DKC1 RPL7L1 RPL26 CCDC86 POP1 RPL26L1 STAU1 STAU2 NIP7 SDAD1 DHX30 HERC5 SRP72 PURA PES1 RPL15 RPL17 NOP16 SURF6 DDX56 CCDC137 DDX54 DDX50 FTSJ3 GLTSCR2 MOV10 NOL12 RSL24D1 GLYR1 RPS24 RRP8 ZNF771 WHSC1 MPHOSPH10 ZNF22 PPAN TTF1 RRP9 LARP1 C7ORF50 BRIX1 UPF1 DDX31 GNL3 REXO4 GNL2 WDR36 NSA2 PABPC4 CEBPZ ZNF512 HP1BP3 NVL YTHDC2 ZC3HAV1 NOC4L ZC3H8 RPF2 LLPH RPL36A GAR1 RRS1 LYAR DDX18 MYEF2 MRPS26 KRR1 PAPD5 MRPS22 SRP68 RRP1B NOC3L RSL1D1 EBNA1BP2 MYBBP1A GZF1 NOP56 FYTTD1 RBM28 DDX27 DDX24 DDX21 NOC2L KRI1 NKRF DHX57 RRP15 RRP12 IGF2BP3 NIFK RBM34 
